pais,continente,region
Liechtenstein,Europa,Europa Occidental
Lituania,Europa,Europa del Norte
Luxemburgo,Europa,Europa Occidental
Macedonia del Norte,Europa,Europa del Sur
Madagascar,Africa,Africa Oriental
Malasia,Asia,Sudeste Asiatico
Malaui,Africa,Africa Oriental
Maldivas,Asia,Asia Meridional
Mali,Africa,Africa Occidental
Malta,Europa,Europa del Sur
Marruecos,Africa,Africa del Norte
Mauricio,Africa,Africa Oriental
Mauritania,Africa,Africa Occidental
Mexico,America,America Central
"Micronesia, Estados Federados de",Oceania,Micronesia
Moldavia,Europa,Europa Oriental
Monaco,Europa,Europa Occidental
Mongolia,Asia,Asia Oriental
Montenegro,Europa,Europa del Sur
Mozambique,Africa,Africa Oriental
Myanmar,Asia,Sudeste Asiatico
Namibia,Africa,Africa Austral
Nauru,Oceania,Micronesia
Nepal,Asia,Asia Meridional
Nicaragua,America,America Central
Niger,Africa,Africa Occidental
Nigeria,Africa,Africa Occidental
Noruega,Europa,Europa del Norte
Nueva Zelanda,Oceania,Australia y Nueva Zelanda
Oman,Asia,Asia Occidental
Paises Bajos,Europa,Europa Occidental
Pakistan,Asia,Asia Meridional
Palaos,Oceania,Micronesia
Panama,America,America Central
Papua Nueva Guinea,Oceania,Melanesia
Paraguay,America,America del Sur
Peru,America,America del Sur
Polonia,Europa,Europa Oriental
Portugal,Europa,Europa del Sur
Reino Unido,Europa,Europa del Norte
Republica Centroafricana,Africa,Africa Central
Republica Checa,Europa,Europa Oriental
Republica Democratica del Congo,Africa,Africa Central
Republica Dominicana,America,Caribe
Republica Eslovaca,Europa,Europa Oriental
Republica Kirguisa,Asia,Asia Central
Republica del Congo,Africa,Africa Central
Ruanda,Africa,Africa Oriental
Rumania,Europa,Europa Oriental
Rusia,Europa,Europa Oriental
Samoa,Oceania,Polinesia
San Cristobal y Nieves,America,Caribe
San Marino,Europa,Europa del Sur
San Vicente y las Granadinas,America,Caribe
Santa Lucia,America,Caribe
Santa Sede,Europa,Europa del Sur
Santo Tome y Principe,Africa,Africa Central
Senegal,Africa,Africa Occidental
Serbia,Europa,Europa del Sur
Seychelles,Africa,Africa Oriental
Sierra Leona,Africa,Africa Occidental
Singapur,Asia,Sudeste Asiatico
Siria,Asia,Asia Occidental
Somalia,Africa,Africa Oriental
Sri Lanka,Asia,Asia Meridional
Suazilandia,Africa,Africa Austral
Sudafrica,Africa,Africa Austral
Sudan,Africa,Africa del Norte
Sudan del Sur,Africa,Africa Oriental
Suecia,Europa,Europa del Norte
Suiza,Europa,Europa Occidental
Surinam,America,America del Sur
Tailandia,Asia,Sudeste Asiatico
Tanzania,Africa,Africa Oriental
Tayikistan,Asia,Asia Central
Timor Oriental,Asia,Sudeste Asiatico
Togo,Africa,Africa Occidental
Tonga,Oceania,Polinesia
Trinidad y Tobago,America,Caribe
Tunez,Africa,Africa del Norte
Turkmenistan,Asia,Asia Central
Turquia,Asia,Asia Occidental
Tuvalu,Oceania,Polinesia
Ucrania,Europa,Europa Oriental
Uganda,Africa,Africa Oriental
Uruguay,America,America del Sur
Uzbekistan,Asia,Asia Central
Vanuatu,Oceania,Melanesia
Venezuela,America,America del Sur
Vietnam,Asia,Sudeste Asiatico
Yemen,Asia,Asia Occidental
Yibuti,Africa,Africa Oriental
Zambia,Africa,Africa Oriental
Zimbabue,Africa,Africa Oriental
