pais,año,mortalidad_infantil,esperanza_de_vida,fecundidad,poblacion,pib
Finlandia,1960,21.9,69,2.72,4429624,52945750397.6676
Fiyi,1960,54,62.2,6.39,404887,1504713750.66537
Francia,1960,23.7,71.1,2.74,46428134,641975620259.302
Gabon,1960,,42.4,4.41,512316,2631213140.27544
Gambia,1960,148.4,49.6,6.08,398060,679336126.2246
Georgia,1960,,61,2.95,4053800,26620229532.24
Ghana,1960,125.1,47.7,6.85,6961215,18543672535.1241
Granada,1960,,60.9,6.74,94058,214790824.34492
Grecia,1960,48.3,72.3,2.28,8384492,54004205093.4538
Guatemala,1960,146,48.4,6.88,4063655,17232607292.156
Guinea,1960,,40.3,6.11,3556749,4123934444.34762
Guinea Ecuatorial,1960,,36.5,5.62,269807,297027744.58983
Guinea-Bisau,1960,,41.7,5.9,577633,679847001.99927
Guyana,1960,67.7,59.5,6.17,569143,2262831761.07686
Haiti,1960,194.8,43.2,6.21,3858443,9712082245.1684
Honduras,1960,140.9,49.5,7.46,2062060,5554578548.519
Hungria,1960,53.4,67.9,2.03,9983374,71305531289.9106
India,1960,165.1,43.4,5.91,435990338,574887263539.461
Indonesia,1960,148.4,46.9,5.55,88296070,159359336859.733
Irak,1960,131.7,60,5.54,7022052,41252568540.1661
Iran,1960,191.6,45.9,7.37,21470434,116577753979.914
Irlanda,1960,30.4,70.1,3.78,2827689,24477456654.8221
Islandia,1960,17.5,73.2,4.23,175560,2313457182.498
Islas Marshall,1960,90.4,50.5,8.08,14703,33446923.41198
Islas Salomon,1960,131.8,53.3,6.9,139688,210459725.28008
Israel,1960,32,71.1,4.24,1891935,16889644141.9452
Italia,1960,44.2,69.7,2.38,49514555,566458959634.855
Jamaica,1960,62,64.1,5.51,1650005,8764204310.1144
Japon,1960,30.4,67.8,1.99,96399754,698368249212.41
Jordania,1960,107.5,53.5,7.62,853471,4133402402.23102
Kazajistan,1960,,61.8,4.51,9429981,97838385852.2994
Kenia,1960,118.6,51.5,7.72,7695307,13040778209.5559
Kiribati,1960,,52.7,6.57,47157,154340610.26802
Kuwait,1960,101.6,64.1,7.23,311060,12088444546.046
Laos,1960,155,37.4,6.21,2121514,2015479754.38356
Lesoto,1960,143.3,49.1,5.8,736500,595136808.66
Letonia,1960,35,70.4,1.93,2131171,19229053679.9304
Libano,1960,57.6,66.6,5.84,1794406,14608807419.0889
Liberia,1960,212,43.7,6.39,1139522,4143200494.77546
Libia,1960,164.5,43.7,7.52,1492890,4939167819.7785
Liechtenstein,1960,,70.9,2.78,16491,
Lituania,1960,52,69.3,2.6,2769095,30462413905.3906
Luxemburgo,1960,33,68.8,2.3,313877,6697620939.61705
Macedonia del Norte,1960,120,58.4,3.8,1435059,6975221628.62502
Madagascar,1960,112,45.4,7.33,5111029,11118840119.4355
Malasia,1960,67.4,58.7,6.36,7956197,23061660452.0969
Malaui,1960,218.2,43.7,7.01,3628134,2344152688.12548
Maldivas,1960,,48.3,6.79,91189,238303559.87487
Mali,1960,237.4,40.5,6.94,5402550,5903733272.1705
Malta,1960,36.4,68.6,3.6,330820,957914310.0674
Marruecos,1960,145,45.5,6.93,11624933,25440646119.7456
Mauricio,1960,67.8,58.7,5.96,680331,3022563987.65295
Mauritania,1960,135,53.2,6.31,824298,1299261351.4281
Mexico,1960,100.6,58.4,6.77,36724615,227535103329.742
"Micronesia, Estados Federados de",1960,,48.5,6.79,43061,78511501.77579
Moldavia,1960,,59.7,3.32,3076166,21579098356.1163
Monaco,1960,,71.5,2.81,21808,761192258.66144
Mongolia,1960,,50.6,6.85,977595,1519875832.83855
Montenegro,1960,,67.5,3.53,471197,1979926915.073
Mozambique,1960,183,49.7,6.38,6713695,3518485749.4505
Myanmar,1960,169,39.8,5.94,21730250,21415742007.28
Namibia,1960,102,46.9,6.22,591465,3648794292.99105
Nauru,1960,,50.8,5.34,4607,84319936.25833
Nepal,1960,219.6,47.6,6.05,10123658,11863454993.6536
Nicaragua,1960,134,53.5,7.2,1782370,8099285608.0555
Niger,1960,,41.3,7.41,3505050,5490770743.368
Nigeria,1960,165,43,6.36,45053782,98907857063.8408
Noruega,1960,18.4,73.6,2.86,3581121,54137845068.2413
Nueva Zelanda,1960,22.6,71.2,4.07,2379481,43373787625.3955
Oman,1960,164,48.6,7.27,530485,1052660467.04545
Paises Bajos,1960,16.4,73.3,3.12,11486911,184486627439.689
Pakistan,1960,192,49,6.75,45709310,54794293163.0084
Palaos,1960,,54.7,7.19,9328,191198441.55984
Panama,1960,66.9,65.9,5.84,1126005,4529643955.3026
Papua Nueva Guinea,1960,134.6,48.9,6.08,1995110,2693374997.6042
Paraguay,1960,62.6,66.8,6.5,1883514,5943472049.18424
Peru,1960,135.9,48.6,6.92,10174127,57157191853.4079
Polonia,1960,57.8,67.5,3,29575966,181094396962.73
Portugal,1960,84.6,64.1,3.16,8873218,51926238108.8375
Reino Unido,1960,22.9,71,2.7,52538548,846244810745.024
Republica Centroafricana,1960,165.5,43.5,5.92,1702346,3004475919.93066
Republica Checa,1960,22,70.2,2.14,9541605,105804290389.927
Republica Democratica del Congo,1960,174,44.9,6.08,15264846,27619494751.9895
Republica Dominicana,1960,102.1,57.9,7.56,3268336,8775702838.04672
Republica Eslovaca,1960,33,69.8,3.04,4124442,41694756397.2757
Republica Kirguisa,1960,,55.9,5.27,2215508,12307245042.6942
Republica del Congo,1960,110.6,40.4,6.03,1056732,2738025032.53776
Ruanda,1960,127.9,37.6,8.26,3022294,3903848289.30602
Rumania,1960,69,65.7,2.32,18313495,61214286222.6498
Rusia,1960,,68.5,2.61,119934141,1051144137430.96
Samoa,1960,92,62.7,7.75,112490,473991132.9594
San Cristobal y Nieves,1960,,54.8,6.54,55810,229228231.6175
San Marino,1960,,72.1,2.43,15428,264031331.19104
San Vicente y las Granadinas,1960,,57.6,7.24,84388,301521631.16572
Santa Lucia,1960,,58.1,6.82,92585,230261283.693
Santa Sede,1960,,,1,906,
Santo Tome y Principe,1960,69,49.6,6.24,68012,119840566.36384
Senegal,1960,126.3,48.3,6.98,3340907,9699765142.12216
Serbia,1960,,62.5,2.27,6702962,40219132634.2564
Seychelles,1960,73.6,62,5.3,43230,175877871.3879
Sierra Leona,1960,223.6,41.9,6.14,2268356,3414872790.51268
Singapur,1960,35.5,65.1,5.78,1619322,7566219587.75046
Siria,1960,121.8,59.5,7.5,4673500,21549761429.82
Somalia,1960,,52.3,7.25,2876331,4163762373.945
Sri Lanka,1960,72.7,62.9,5.4,9661389,20993181629.0355
Suazilandia,1960,141.7,40,6.74,345337,325613446.75559
Sudafrica,1960,,55,6.12,16440172,101278077675.64
Sudan,1960,107.4,47.1,6.67,8364489,17338754015.8587
Sudan del Sur,1960,,48,7.05,2931559,5464644435.77668
Suecia,1960,16.3,73.3,2.18,7484596,123322751445.119
Suiza,1960,21.6,71.7,2.46,5327780,119543958148.735
Surinam,1960,,62.6,6.59,263918,2315075199.23348
Tailandia,1960,102.2,59.4,6.28,26851747,49192763002.5845
Tanzania,1960,144.3,47.5,6.6,9901419,9214190419.35348
Tayikistan,1960,,54.2,6.24,2112131,10850193162.0893
Timor Oriental,1960,,41.2,6.33,468118,392073209.26662
Togo,1960,162.4,42.6,6.73,1673110,2159176211.8949
Tonga,1960,,61.3,6.83,66170,106794300.6195
Trinidad y Tobago,1960,56.6,63.6,5.37,844943,8709814529.61488
Tunez,1960,173.4,49.1,7.13,4267288,10372487169.5105
Turkmenistan,1960,,56.7,6.55,1643457,10881998801.5498
Turquia,1960,166,53.6,6.36,28329898,111532847430.46
Tuvalu,1960,,49.5,5.15,5598,11487749.95836
Ucrania,1960,,70.6,2.32,42824093,322422554657.63
Uganda,1960,132.3,46.9,6.93,7640973,9944762883.35094
Uruguay,1960,57.7,68.2,2.84,2529957,23591421563.4653
Uzbekistan,1960,,61.2,6.64,8209109,43436480996.8682
Vanuatu,1960,106.7,56,6.89,64431,117272323.75077
Venezuela,1960,59.9,64.3,6.44,8160090,95467100867.1522
Vietnam,1960,75.6,57,6.29,32531933,48583373848.8988
Yemen,1960,225,44.9,7.81,5532301,8089269666.889
Yibuti,1960,,53.3,6.75,86024,508643993.2588
Zambia,1960,123.2,42.6,6.96,3153729,6352902824.90523
Zimbabue,1960,92.6,54.6,7.19,3809389,8592921469.13519
Afganistan,1961,240.5,52.6,7.37,9214083,20979692731.6055
Albania,1961,110.8,62.4,6.23,1698791,4948022202.68152
Alemania,1961,,69.8,2.46,73376115,1134514743068.56
Andorra,1961,,73.1,2.54,10283,245718608.0167
Angola,1961,,40.5,6.92,5301583,19695811545.6029
Antigua y Barbuda,1961,,63.8,4.52,56540,290068206.8592
Arabia Saudita,1961,,44.8,7.54,2526347,31393794163.5845
Argelia,1961,148.1,40.8,7.58,11628883,50142644101.4012
Argentina,1961,59.73,65.5,3.12,20726276,249239081990.066
Armenia,1961,,62,4.63,1927484,13264835484.0082
Australia,1961,20,71.2,3.54,10500443,172097172885.349
Austria,1961,35,69.4,2.79,7086057,96928479710.2136
Azerbaiyan,1961,,52.3,5.86,4108980,25915699395.3054
Bahamas,1961,,63.5,5.01,122197,2447909035.54411
Banglades,1961,171.7,47.1,6.78,53310348,66512574650.471
Barbados,1961,65,66.1,4.19,233148,1547612691.86508
Barein,1961,123.8,56.4,7.21,172346,1461277329.0531
Belgica,1961,28.1,70.3,2.62,9158211,129346982603.199
Belice,1961,,58.3,6.48,93632,269672339.65056
Benin,1961,183.9,44.8,6.39,2559223,4512669675.20194
Bielorrusia,1961,,70.7,2.68,8320433,56124177156.0576
Bolivia,1961,170.5,44,6.35,3778731,13144415050.7634
Bosnia y Herzegovina,1961,,62.6,3.9,3348035,9173359206.15655
Botsuana,1961,112.2,48.4,6.58,527942,408646979.73688
Brasil,1961,126.1,57.8,6.06,74605447,326547408864.809
Brunei,1961,,56.3,7.03,92517,8839645126.46142
Bulgaria,1961,,69.1,2.27,7938300,40047424635.354
Burkina Faso,1961,159.4,45.1,6.29,4848224,4872128507.80768
Burundi,1961,144.8,43.3,7.02,2835119,1990250872.98814
Butan,1961,,41,6.69,230602,268255174.21216
Cabo Verde,1961,,58.4,6.92,215087,264815284.31873
Camboya,1961,,49.6,6.45,5571168,10434986638.0186
Camerun,1961,163.3,25.8,5.73,5239273,9478427516.55033
Canada,1961,27,71.2,3.78,18263074,309235958016.536
Catar,1961,,57.8,6.63,39680,1408582953.6512
Chad,1961,,45.3,6.27,3111947,4184698583.49933
Chile,1961,121.1,57.2,4.85,8324802,63512191957.3312
China,1961,161,38.5,3.73,655773486,482639350727.687
Chipre,1961,,64.7,3.59,595514,2807987526.78816
Cisjordania y Gaza,1961,,57.5,7.79,1090928,2606408926.06256
Colombia,1961,87.6,59.1,6.73,16095203,76086891287.5311
Comoras,1961,,51.4,6.85,201201,177929816.69463
Corea del Norte,1961,81.7,61.9,3.26,11990713,17029598861.8869
Corea del Sur,1961,76.1,56.7,5.8,26852951,48342963548.3875
Costa Rica,1961,83.56,65.3,6.8,1377920,7231549532.5952
Costa de Marfil,1961,203,44.7,7.65,3810151,11166040789.2862
Croacia,1961,,65.3,2.24,4223427,33374439889.6978
Cuba,1961,,70.2,4.29,7387117,34289550494.8779
Dinamarca,1961,20.8,72.4,2.55,4611360,83291630770.608
Dominica,1961,79.2,62.2,6.16,60209,110769542.67122
Ecuador,1961,118.2,56.5,6.69,4722331,21328379249.7275
Egipto,1961,202.7,49.4,6.72,27600898,58082628412.3818
El Salvador,1961,123.9,54.5,6.67,2870016,10304655232.535
Emiratos Arabes Unidos,1961,130.5,53.1,6.59,137989,478715804.77196
Eritrea,1961,,37.7,6.56,995573,936051264.43707
Eslovenia,1961,,66.5,2.28,1618560,17016760373.8752
Espana,1961,44.4,69.8,2.78,30699567,229170308408.634
Estados Unidos,1961,25.4,70.3,3.68,183489485,3786006005749.06
Estonia,1961,,69.5,1.98,1235168,13781281093.7507
Etiopia,1961,,43,6.61,21906102,18163804609.6169
Filipinas,1961,65.9,62.4,7.01,28792621,80996801135.5975
Finlandia,1961,20.6,69,2.7,4460995,56683840894.4769
Fiyi,1961,52.1,62.5,6.28,417406,1537270676.57196
Francia,1961,22.4,71.4,2.82,46893835,671240928661.542
Gabon,1961,,42.9,4.49,518266,2938103039.98638
Gambia,1961,146.1,49.8,6.09,408930,743155113.666
Georgia,1961,,61.4,2.95,4129029,28232556654.3436
Ghana,1961,123.8,48,6.88,7162667,19120744068.9802
Granada,1961,,61.7,6.63,95335,221221302.92435
Grecia,1961,47.3,72.2,2.23,8447002,59265207378.4066
Guatemala,1961,143.3,49.2,6.87,4186201,17849894838.3002
Guinea,1961,210.5,40.6,6.12,3619551,4473243531.09192
Guinea Ecuatorial,1961,,36.9,5.63,274896,314892760.47984
Guinea-Bisau,1961,,42.1,5.9,582532,724564643.49804
Guyana,1961,65.1,60,6.17,582568,2356060094.90432
Haiti,1961,191.5,43.6,6.21,3929030,9355660940.4706
Honduras,1961,136.6,50.1,7.45,2121242,5638249972.20498
Hungria,1961,51,68.3,1.95,10026513,74587996834.184
India,1961,162.5,43.8,5.92,446564729,588504301013.773
Indonesia,1961,144.8,47.3,5.55,90791249,170692979252.515
Irak,1961,124.7,58.6,5.93,7194553,45776222636.8766
Iran,1961,183.9,46.5,7.34,22125726,127684398775.867
Irlanda,1961,29.2,70.1,3.82,2824693,25693339142.1825
Islandia,1961,17.2,73.2,3.95,178998,2299229739.5952
Islas Marshall,1961,87,50.9,8.12,15219,35417036.32137
Islas Salomon,1961,125.4,53.5,6.9,142912,219528480.864
Israel,1961,,71.4,4.08,1956884,18617077706.3727
Italia,1961,42.7,70.1,2.42,49815249,610771506173.411
Jamaica,1961,59.8,64.3,5.58,1673261,9067321527.71769
Japon,1961,27.9,68.4,1.94,97217594,775453028550.168
Jordania,1961,101.9,54.3,7.72,897591,4967607874.42209
Kazajistan,1961,,62.1,4.44,9742085,105100548562.473
Kenia,1961,114,51.9,7.78,7987770,12807234642.7242
Kiribati,1961,,53.2,6.6,48323,162248287.60085
Kuwait,1961,95.2,63.4,7.25,345945,15219512566.9504
Laos,1961,,37.8,6.23,2169796,2074374100.18144
Lesoto,1961,142.3,49.3,5.79,758824,602617605.83376
Letonia,1961,,70.5,1.94,2157169,20375678279.7498
Libano,1961,56.1,67.3,5.85,1850084,15656625277.141
Liberia,1961,212.1,43.8,6.44,1167717,4540329909.12945
Libia,1961,156.1,44.5,7.56,1555699,5297203306.11201
Liechtenstein,1961,,71,2.78,16860,
Lituania,1961,,69.7,2.59,2812599,32164861153.8855
Luxemburgo,1961,,69,2.34,316342,6947299684.66976
Macedonia del Norte,1961,,59,3.63,1455171,7172977568.02107
Madagascar,1961,,45.7,7.3,5246158,11507338977.5294
Malasia,1961,64.2,59.1,6.32,8164443,24504923407.1487
Malaui,1961,216.4,43.9,7.04,3715534,2496593771.37736
Maldivas,1961,,48.8,6.86,93450,249653460.8295
Mali,1961,231.5,40.5,6.96,5482283,5857944052.61542
Malta,1961,34.9,68.9,3.32,330849,945956486.50308
Marruecos,1961,142.7,47.2,7,11931085,27219493085.5399
Mauricio,1961,66.3,59.4,6.03,692529,3185945294.28573
Mauritania,1961,131.9,53.4,6.33,846167,1455064153.12818
Mexico,1961,97.7,59.3,6.78,37890118,237172774556.295
"Micronesia, Estados Federados de",1961,,49,6.78,44610,82703602.7259
Moldavia,1961,,60.2,3.23,3143887,23127538162.6692
Monaco,1961,,71.7,2.78,21901,815260580.89278
Mongolia,1961,,50.9,7.01,1009284,1635440119.80624
Montenegro,1961,,68,3.47,477827,2436217922.3585
Mozambique,1961,,49.8,6.42,6834936,3571081682.91408
Myanmar,1961,,40.1,5.94,22210581,21794712746.6257
Namibia,1961,,47.3,6.26,603067,3663587361.85798
Nauru,1961,,51.1,5.38,4774,98930049.87712
Nepal,1961,216.7,47.9,6.07,10318396,12127297802.8783
Nicaragua,1961,132.5,54.4,7.14,1836451,8710459774.48753
Niger,1961,,41.3,7.42,3608162,5775640370.84994
Nigeria,1961,,43.3,6.35,45989310,100277132989.471
Noruega,1961,18,73.6,2.91,3609657,57489952297.2246
Nueva Zelanda,1961,21.7,71.2,4.15,2429747,45326703298.0353
Oman,1961,237.2,49.3,7.28,539854,1057445592.52318
Paises Bajos,1961,16.1,73.4,3.21,11639365,185628662607.579
Pakistan,1961,184.8,49.5,6.76,46921277,57678305855.1251
Palaos,1961,,55.3,7.17,9555,206062008.8163
Panama,1961,65.3,66.1,5.86,1159870,5005866300.4642
Papua Nueva Guinea,1961,130.7,49.4,6.12,2046127,2910076318.88407
Paraguay,1961,62,67.1,6.49,1927394,6249013768.59326
Peru,1961,132.6,50,6.91,10475123,61647573438.0647
Polonia,1961,53,68,2.86,29979689,194515299237.385
Portugal,1961,82.3,64.1,3.2,8888374,54920750264.5877
Reino Unido,1961,22.5,70.8,2.78,52884948,864018624363.994
Republica Centroafricana,1961,162.9,43.7,5.94,1734580,3102215498.572
Republica Checa,1961,,70.3,2.14,9573390,109253181631.929
Republica Democratica del Congo,1961,,45,6.1,15662374,24930361722.0367
Republica Dominicana,1961,101,58.2,7.49,3373233,8567899896.12906
Republica Eslovaca,1961,,70.2,2.97,4185342,43637774893.684
Republica Kirguisa,1961,,56.4,5.34,2288666,12978090583.8788
Republica del Congo,1961,108.4,40.8,6.05,1084389,2949115699.64061
Ruanda,1961,125.3,38,8.26,3106779,3786834530.96832
Rumania,1961,,66.2,2.16,18422514,66159313991.2901
Rusia,1961,,68.7,2.51,121604304,1135990079094.8
Samoa,1961,,63,7.74,115496,490786492.96152
San Cristobal y Nieves,1961,,55.1,6.27,55334,228107659.82528
San Marino,1961,,72.3,2.68,15799,288177539.59477
San Vicente y las Granadinas,1961,,58.9,7.16,85870,313548957.0164
Santa Lucia,1961,,58.7,6.86,93490,241373858.1728
Santa Sede,1961,,,1,904,
Santo Tome y Principe,1961,,50.4,6.26,68707,130040232.84256
Senegal,1961,126,48.3,7.03,3436375,10082858846.8587
Serbia,1961,,62.8,2.24,6771394,41825514159.6506
Seychelles,1961,72.3,62,5.42,44108,169215681.10764
Sierra Leona,1961,220.5,42,6.18,2304227,3476262800.55746
Singapur,1961,32.9,65.5,5.45,1670461,8163769705.48997
Siria,1961,116,59.9,7.5,4815466,22453141408.8892
Somalia,1961,,52.3,7.25,2952054,4365850579.89948
Sri Lanka,1961,69.8,63.4,5.28,9899372,21688025089.0918
Suazilandia,1961,140.1,40.4,6.76,353264,364379144.42032
Sudafrica,1961,,55.4,6.09,16908035,105454957439.894
Sudan,1961,105.7,47.4,6.67,8634941,17373197428.4262
Sudan del Sur,1961,,48.1,7.08,2976724,5660227260.97476
Suecia,1961,16,73.5,2.21,7519998,129529091030.765
Suiza,1961,21.2,71.8,2.53,5434123,128948545318.937
Surinam,1961,,62.8,6.59,272791,2453354936.98448
Tailandia,1961,99,59.9,6.29,27650334,51115347543.756
Tanzania,1961,143,47.7,6.62,10187886,8984073368.53452
Tayikistan,1961,,54.8,6.33,2181805,11554059873.7999
Timor Oriental,1961,,41.6,6.3,475291,413516806.09879
Togo,1961,159.4,42.8,6.76,1702717,2304360149.95817
Tonga,1961,,61.6,6.78,68037,109673730.79956
Trinidad y Tobago,1961,54.7,63.9,5.35,863144,9223036532.58544
Tunez,1961,187.5,49.6,7.14,4316278,10944325491.4118
Turkmenistan,1961,,57.4,6.65,1695400,11679868385.57
Turquia,1961,161.6,54.2,6.38,29119238,113573798332.101
Tuvalu,1961,,49.8,5.09,5648,11698603.56
Ucrania,1961,,70.9,2.22,43399766,357000544103.978
Uganda,1961,129.6,47,6.95,7862217,9805254646.7337
Uruguay,1961,56.4,68.5,2.86,2562044,24021346924.3348
Uzbekistan,1961,,61.9,6.75,8517711,46687435792.2704
Vanuatu,1961,104.1,56.3,6.82,66264,121767175.00728
Venezuela,1961,58.1,65,6.37,8455915,98137306456.3769
Vietnam,1961,72.6,57.3,5.68,33409059,50347274176.8061
Yemen,1961,269.2,45.1,7.84,5655232,8172288502.97024
Yibuti,1961,,53.7,6.77,89390,534171861.6402
Zambia,1961,120.9,42.6,7,3254086,6414933259.57748
Zimbabue,1961,90.1,54.9,7.21,3930401,9116168188.30301
Afganistan,1962,236.3,52.9,7.37,9404406,21568276507.6231
Albania,1962,106.5,62.8,6.08,1743733,5229930730.67711
Alemania,1962,,69.8,2.46,73997003,1179540834321.39
Andorra,1962,,73.4,2.55,11086,287530064.47254
Angola,1962,,40.7,6.97,5354310,19227951629.6322
Antigua y Barbuda,1962,,64.3,4.51,57336,301683217.76496
Arabia Saudita,1962,,45.8,7.56,2620910,36222701047.0801
Argelia,1962,148.2,41.4,7.62,11800771,37888824899.5442
Argentina,1962,59.59,65.6,3.12,21072538,246723186804.536
Armenia,1962,,62.7,4.5,1991689,13767118195.239
Australia,1962,19.5,71.2,3.43,10707236,182068138395.629
Austria,1962,32.9,69.5,2.8,7129579,98861664614.5447
Azerbaiyan,1962,,53.3,5.89,4239407,27137801071.6044
Bahamas,1962,,63.2,4.99,128493,2699189296.6905
Banglades,1962,167.6,47,6.8,54881146,68549191137.1226
Barbados,1962,61.2,66.8,4.29,235224,1622282867.36208
Barein,1962,114.1,57.1,7.18,179349,1570483428.80844
Belgica,1962,27,70.3,2.6,9217669,135595284656.854
Belice,1962,,64.3,6.46,96042,280273841.3829
Benin,1962,180.6,45.1,6.44,2604659,4309284490.01114
Bielorrusia,1962,,70.9,2.62,8424480,57108314217.2736
Bolivia,1962,167.7,44.6,6.33,3857493,13887446879.9933
Bosnia y Herzegovina,1962,,63,3.81,3407532,9001141892.97216
Botsuana,1962,109,48.7,6.56,540186,429493720.98768
Brasil,1962,122.9,58.2,6.02,76865323,345305703183.081
Brunei,1962,,56.4,6.91,96719,9415902076.17745
Bulgaria,1962,,69.5,2.23,8008325,42797287550.3355
Burkina Faso,1962,157.5,45.2,6.33,4919672,5126540714.63288
Burundi,1962,144.6,43.5,7.04,2907943,2159134533.59764
Butan,1962,,41.4,6.69,237636,279654222.44088
Cabo Verde,1962,,58.5,6.95,221919,263109119.2872
Camboya,1962,,50.1,6.43,5697558,11385963157.9509
Camerun,1962,160.5,45.4,5.74,5338620,9798757373.0844
Canada,1962,26,71.3,3.7,18613601,329235014655.665
Catar,1962,,58.6,6.62,44630,2012970410.9026
Chad,1962,,45.4,6.29,3175598,4501575423.11992
Chile,1962,116.7,57.2,4.77,8497059,65606203881.6262
China,1962,110,51.8,6.06,665073691,505184415667.543
Chipre,1962,,65.2,3.49,601466,3098637073.85364
Cisjordania y Gaza,1962,,58,7.82,1109340,2727256312.863
Colombia,1962,85.9,59.7,6.69,16599029,79486419509.3103
Comoras,1962,,51.6,6.9,204702,195169644.01302
Corea del Norte,1962,78.4,62.3,3.41,12262882,17292882465.8691
Corea del Sur,1962,72.4,57.1,5.56,27509237,49281952451.5546
Costa Rica,1962,80.64,65.5,6.68,1429445,7660445957.1084
Costa de Marfil,1962,197.7,45.1,7.7,3956939,11533146901.6776
Croacia,1962,,66,2.21,4255014,34425790936.7247
Cuba,1962,,70.4,4.44,7541098,34134077719.1323
Dinamarca,1962,20.2,72.4,2.55,4647467,87641220368.7329
Dominica,1962,73.6,63.3,6.12,60948,128060099.70444
Ecuador,1962,115.3,57.2,6.67,4859269,22344171387.1774
Egipto,1962,195.9,49.7,6.68,28337013,61152302404.2018
El Salvador,1962,121.6,55,6.69,2949204,11425518088.0453
Emiratos Arabes Unidos,1962,124,53.8,6.57,144946,568874455.22858
Eritrea,1962,,38,6.56,1019788,970335083.98596
Eslovenia,1962,,66.8,2.29,1633081,17772372732.1898
Espana,1962,41.7,69.6,2.8,31040106,252958325507.093
Estados Unidos,1962,24.9,70.2,3.52,186724272,3992636737179.79
Estonia,1962,,69.8,1.95,1249624,14081944351.6123
Etiopia,1962,,43,6.62,22465126,18824238973.3816
Filipinas,1962,64.2,62.8,6.99,29723536,84482772706.4098
